Number,Genera
1,Abiotrophia
2,Acetobacter
3,Acholeplasma
4,Achromobacter
5,Acidaminococcus
6,Acidomonas
7,Acidovorax
8,Acinetobacter
9,Actinobacillus
10,Actinobaculum
11,Actinomadura
12,Actinomyces
13,Actinotignum
14,Advenella
15,Aerococcus
16,Aeromonas
17,Afipia
18,Aggregatibacter
19,Agrobacterium
20,Alcaligenes
21,Alistipes
22,Alkanindiges
23,Alloiococcus
24,Alloprevotella
25,Alloscardovia
26,Amycolatopsis
27,Anaerobiospirillum
28,Anaerococcus
29,Anaeroglobus
30,Anaerostipes
31,Anaplasma
32,Aquimonas
33,Arcanobacterium
34,Arcobacter
35,Arthrobacter
36,Asaia
37,Atlantibacter
38,Atopobium
39,Aureimonas
40,Auritidibacter
41,Bacillus
42,Bacteroides
43,Balneatrix
44,Bartonella
45,Bergeyella
46,Bifidobacterium
47,Bilophila
48,Bisgaardia
49,Bordetella
50,Borrelia
51,Borreliella
52,Brachybacterium
53,Brachyspira
54,Branchiibius
55,Brevibacillus
56,Brevibacterium
57,Brevundimonas
58,Brucella
59,Brucella 
60,Budvicia
61,Bulleidia
62,Burkholderia
63,Buttiauxella
64,Butyricimonas
65,Campylobacter
66,Candida
67,Canibacter
68,Capnocytophaga
69,Cardiobacterium
70,Catabacter
71,Catonella
72,Cedecea
73,Cellulomonas
74,Cellulosimicrobium
75,Centipeda
76,Chitinophaga
77,Chlamydia
78,Chlamydophila
79,Chromobacterium
80,Chryseobacterium
81,Citrobacter
82,Clostridioides
83,Clostridium
84,Collinsella
85,Comamonas
86,Coprobacillus
87,Corynebacterium
88,Coxiella
89,Cronobacter
90,Cruoricaptor
91,Cryptobacterium
92,Cupriavidus
93,Curtobacterium
94,Cutibacterium
95,Delftia
96,Dermabacter
97,Dermacoccus
98,Dermatophilus
99,Desmospora
100,Desulfomicrobium
101,Desulfovibrio
102,Dialister
103,Dichelobacter
104,Dietzia
105,Diplorickettsia
106,Dokdonella
107,Dolosigranulum
108,Dyella
109,Dysgonomonas
110,Edwardsiella
111,Effusibacillus
112,Eggerthella
113,Eggerthia
114,Ehrlichia
115,Eikenella
116,Eisenbergiella
117,Elizabethkingia
118,Empedobacter
119,Enterobacter
120,Enterococcus
121,Erwinia
122,Erysipelatoclostridium
123,Erysipelothrix
124,Escherichia
125,Eubacterium
126,Ewingella
127,Exiguobacterium
128,Facklamia
129,Faecalicatena Contorta
130,Fastidiosipila
131,Fenollaria
132,Fibrobacter
133,Filifactor
134,Finegoldia 
135,Flavobacterium
136,Fluoribacter
137,Francisella
138,Frederiksenia
139,Fretibacterium
140,Fusobacterium
141,Gallibacterium
142,Gardnerella
143,Gemella
144,Globicatella
145,Gordonia
146,Gordonibacter
147,Granulibacter
148,Granulicatella
149,Haematobacter
150,Haematomicrobium
151,Haematospirillum
152,Haemophilus
153,Hafnia
154,Halomonas
155,Hathewaya
156,Hazenella
157,Helcobacillus
158,Helcococcus
159,Helicobacter
160,Hepatobacter
161,Herbaspirillum
162,Hungatella
163,Ignatzschineria
164,Ignavigranum
165,Inquilinus
166,Janibacter
167,Jonquetella
168,Kerstersia
169,Kingella
170,Klebsiella
171,Kluyvera
172,Kocuria
173,Kosakonia
174,Kytococcus
175,Lachnoanaerobaculum
176,Lactobacillus
177,Lactococcus
178,Laribacter
179,Lawsonella
180,Leclercia
181,Legionella
182,Leifsonia
183,Lelliottia 
184,Leminorella
185,Leptospira
186,Leptotrichia
187,Leuconostoc
188,Listeria
189,Luteibacter
190,Luteococcus
191,Lysinibacillus
192,Malaciobacter
193,Mannheimia
194,Massilia
195,Megamonas
196,Megasphaera
197,Melissococcus
198,Metamycoplasma
199,Methylobacterium
200,Microbacterium
201,Micrococcus
202,Microvirgula
203,Mobiluncus
204,Moellerella
205,Mogibacterium
206,Moraxella
207,Morganella
208,Moryella
209,Murdochiella
210,Mycobacterium
211,Mycoplasma
212,Mycoplasmoides
213,Mycoplasmopsis
214,Myroides
215,Necropsobacter
216,Negativicoccus
217,Neisseria
218,Neoehrlichia
219,Neorickettsia
220,Nocardia
221,Nocardiopsis
222,Oblitimonas
223,Ochrobactrum
224,Odoribacter
225,Oerskovia
226,Oligella
227,Oribacterium
228,Orientia
229,Oscillibacter
230,Paenalcaligenes
231,Paenibacillus
232,Pandoraea
233,Pantoea
234,Parabacteroides
235,Paraclostridium
236,Paracoccus
237,Paraeggerthella
238,Parapseudoflavitalea
239,Parvimonas
240,Pasteurella
241,Peptococcus
242,Peptoniphilus
243,Peptostreptococcus
244,Phocaeicola
245,Photobacterium
246,Photorhabdus
247,Phytobacter
248,Plesiomonas
249,Pluralibacter
250,Pontibacter
251,Porphyromonas
252,Prescottia
253,Prevotella
254,Propionibacterium
255,Proteus
256,Providencia
257,Pseudoclavibacter
258,Pseudomonas
259,Pseudonocardia
260,Pseudopropionibacterium
261,Pseudoramibacter
262,Pseudoxanthomonas
263,Psychrobacter
264,Pyramidobacter
265,Rahnella
266,Ralstonia
267,Raoultella
268,Rhizobium
269,Rhodococcus
270,Rickettsia
271,Robinsoniella
272,Rodentibacter
273,Roseomonas
274,Rothia
275,Ruminococcus
276,Saccharomonospora
277,Saccharopolyspora
278,Saezia
279,Salmonella
280,Scandinavium
281,Scardovia
282,Sciscionella
283,Sebaldella
284,Sedimentibacter
285,Segniliparus
286,Selenomonas
287,Serratia
288,Shewanella
289,Shigella
290,Shuttleworthia
291,Simkania
292,Slackia
293,Sneathia
294,Sodalis
295,Solobacterium
296,Sphingobacterium
297,Sphingomonas
298,Spirillum
299,Spiroplasma
300,Staphylococcus
301,Stenotrophomonas
302,Stomatobaculum
303,Streptobacillus
304,Streptococci
305,Streptococcus
306,Streptomyces
307,Sutterella
308,Suttonella
309,Tannerella
310,Tatlockia
311,Tatumella
312,Taylorella
313,Tepidimonas
314,Terrisporobacter
315,Tissierella
316,Treponema
317,Tropheryma
318,Trueperella
319,Tsukamurella
320,Turicella
321,Turicibacter
322,Ureaplasma
323,Vagococcus
324,Varibaculum
325,Veillonella
326,Vibrio
327,Waddlia
328,Wautersiella
329,Weeksella
330,Weissella
331,Williamsia
332,Wohlfahrtiimonas
333,Wolinella
334,Xenophilus
335,Yersinia
336,Yokenella
